[snake_collate_fn] Sample 0: channel=CCP5h, sr=500, dur=7.308, path=/scratch/mae/2_61/signal_2_1221093.npy
[snake_collate_fn] Sample 1: channel=AFF6h, sr=500, dur=7.308, path=/scratch/mae/2_61/signal_2_1221109.npy
[snake_collate_fn] Sample 2: channel=AFF5h, sr=500, dur=7.308, path=/scratch/mae/2_61/signal_2_1221108.npy
[snake_collate_fn] Sample 3: channel=P1, sr=500, dur=7.308, path=/scratch/mae/2_61/signal_2_1221061.npy
[snake_collate_fn] Sample 4: channel=POO9h, sr=500, dur=7.308, path=/scratch/mae/2_61/signal_2_1221130.npy
[snake_collate_fn] Sample 5: channel=PO5, sr=500, dur=7.308, path=/scratch/mae/2_61/signal_2_1221064.npy
[snake_collate_fn] Sample 6: channel=CPZ, sr=500, dur=7.308, path=/scratch/mae/2_61/signal_2_1221058.npy
[snake_collate_fn] Sample 7: channel=AFF2, sr=500, dur=7.308, path=/scratch/mae/2_61/signal_2_1221084.npy
[snake_collate_fn] Sample 8: channel=FCC5h, sr=500, dur=7.308, path=/scratch/mae/2_61/signal_2_1221089.npy
[snake_collate_fn] Sample 9: channel=FT8, sr=500, dur=7.308, path=/scratch/mae/2_61/signal_2_1221069.npy
[snake_collate_fn] Sample 10: channel=CCP6h, sr=500, dur=7.308, path=/scratch/mae/2_61/signal_2_1221096.npy
[snake_collate_fn] Sample 11: channel=FC3, sr=500, dur=7.308, path=/scratch/mae/2_61/signal_2_1221050.npy
[snake_collate_fn] Sample 12: channel=PO10, sr=500, dur=7.308, path=/scratch/mae/2_61/signal_2_1221079.npy
[snake_collate_fn] Sample 13: channel=FFT7h, sr=500, dur=7.308, path=/scratch/mae/2_61/signal_2_1221110.npy
[snake_collate_fn] Sample 14: channel=FFC3h, sr=500, dur=7.308, path=/scratch/mae/2_61/signal_2_1221086.npy
[snake_collate_fn] Sample 15: channel=AF7, sr=500, dur=7.308, path=/scratch/mae/2_61/signal_2_1221042.npy
[snake_collate_fn] Sample 16: channel=CP1, sr=500, dur=7.308, path=/scratch/mae/2_61/signal_2_1221030.npy
